system:index,latitude,longitude,phosphorus,.geo
197_0,-14.56937743027956,33.09251745678631,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,-2.939989695723808,24.319121234433005,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,2.581137338110542,35.04635319974627,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,13.750679986241558,13.587846850341203,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,8.176047144460671,19.59622862817462,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,-16.5015761911898,22.98431455375981,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,-10.532672841460943,19.131080974057536,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,11.834402700067493,9.01829666308202,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,-19.40004540310808,30.4385347813836,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,16.309461790179444,21.868606970883363,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,-20.753933617202396,18.195665268703877,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,-29.778516603416936,22.57441328961607,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,-5.893414971533254,12.351136198693856,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,-3.781511404145312,20.039547220887606,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,5.515544815268123,11.192309482179674,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,7.516631291116108,31.203360414282955,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,14.444372667682511,-2.91896598994024,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,9.600756638154111,14.381238909275565,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,-17.21470087878971,33.17363532694231,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,-2.566632867138002,24.522859140871315,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,11.19985001550791,-11.289198312780705,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,-1.8209545743760467,24.423146144334048,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,-6.129265963977074,17.817294871032733,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,2.392399627456684,44.518548881616155,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,-0.7168536881253892,9.34169016536505,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,6.54118322392102,-3.2776632828891654,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,6.303641869685373,16.371995410412836,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,13.408559813421256,25.693543619135873,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,6.7015336828578596,-8.840031522157242,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,-29.967102441027578,20.325750470408085,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
295_0,-21.84988684040847,34.10959002146643,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,5.782657585636024,43.48234220138428,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,-22.6801344409144,31.347270522798908,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,-3.8637932702420876,37.104752841777746,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,-1.1752002697155715,39.45582360337535,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,4.931831034845482,22.19334794609257,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,31.388280818449477,-6.508364370696612,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,4.833285433908754,20.707624297687296,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
311_0,35.77968186638969,1.5910258939818174,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,3.6556199790135655,41.9995829934166,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,5.446601381789941,6.601738717272096,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
319_0,-19.922834654863735,31.93773315905067,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,-12.800963344392557,38.32852775333376,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,16.286440602370376,33.696993811470335,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,34.85746568336031,3.149513080400775,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,-0.3201746953353773,29.082707523062002,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,-3.5916420243435683,34.18424002157676,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,-32.92257708436732,24.867003726217504,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,17.074835981329603,-1.6019459518926098,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,6.922297095885086,32.396951932292566,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,34.717142950551036,10.263092152286442,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
353_0,-15.602123390451833,40.082937503219185,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,-13.893857223548833,38.23797757269452,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
364_0,2.1330789187702432,32.45112034392497,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
366_0,-13.758565599642871,34.02658568921379,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
367_0,5.741901395533943,11.79031796681804,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
368_0,-16.17339709110696,35.222872153075755,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
370_0,-8.955020511340708,15.031529343449684,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
377_0,10.924254467491002,27.550900300581397,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
381_0,9.32855106575288,44.87886314207649,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
384_0,13.863475892647228,4.738992144121857,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
397_0,-27.025050842054057,32.20776673345699,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
398_0,-12.282729568187317,32.83137720369277,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
399_0,10.19676229703406,29.990634780721603,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
407_0,-21.92540752381717,45.843384262635624,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
413_0,-25.086898030180095,19.891864188178356,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
417_0,-9.637988507512263,25.170724123778314,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
420_0,-3.40415431739589,29.556209509321402,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
425_0,-25.089094658675442,30.619365648076858,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
434_0,8.776317029759234,17.349452271063285,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
436_0,-22.393385554645565,45.13111007385725,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
439_0,0.8911658649584958,28.8504031905887,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
441_0,1.9248903261836987,39.25693659947129,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
444_0,1.5192156287237495,24.042080800810545,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
446_0,-11.262530013490249,30.972673049321063,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
449_0,-21.08194105557928,23.016114914817642,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
451_0,-9.10167229846291,30.721773590466483,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
452_0,2.958795783623078,19.763584765606087,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
453_0,9.020735167704649,-10.860432427670458,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
457_0,13.563439462701988,-6.3612203271578345,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
464_0,-2.027809574505782,11.818345403682569,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
467_0,-5.989375764184615,37.22117450259963,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
468_0,14.904774072056673,-12.20197647297455,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
469_0,-8.297702194017731,14.84719504714836,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
470_0,-6.262690264473089,21.542788017333216,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
471_0,-16.758249117449118,25.8778779154372,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
474_0,14.942272340717773,-12.627238928476732,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
476_0,16.819880697274407,35.40936240605897,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
478_0,-15.359547674827054,18.25198963701817,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
481_0,15.948574153049854,0.4233058561548514,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
484_0,16.27790396927901,34.93289597936197,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
485_0,-15.453339232030881,47.807191305249304,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
487_0,-15.678161647349958,26.413633150886085,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
493_0,6.300963210617864,32.977982258061076,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
495_0,13.638353505998635,-7.307685310506162,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
500_0,8.894286465870609,-3.544732416857899,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
501_0,4.297888996386227,36.67706493500844,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
503_0,-15.441130540091004,16.51725299185496,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
507_0,32.49351666440309,20.82296798016824,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
510_0,-29.725639379908774,23.671256251526007,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
511_0,-24.666622005989463,17.53782898614315,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
512_0,-8.615979600408933,15.189183675812663,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
513_0,5.063112890977351,46.91570321728909,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
521_0,2.283883745193869,29.05171564575988,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
522_0,13.436083828548385,-1.0316954095335376,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
525_0,8.89055889102906,23.232249572176794,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
526_0,-15.935649963090848,38.61580898119519,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
527_0,14.672869538917217,-15.297391278993597,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
530_0,-17.66078444029434,47.070932098384944,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
532_0,8.15710706302072,9.661310743454775,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
533_0,-1.824725589316359,10.736594138545842,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
536_0,7.761564399285895,36.897781000316606,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
538_0,-26.785208066110243,28.40061672783005,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
544_0,-26.62776088069724,17.850981694187215,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
550_0,14.487429525130342,24.688867805376603,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
551_0,-4.933743974422647,24.401317082929943,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
557_0,-25.99241766844812,32.235794170321526,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
565_0,14.809436601585828,-15.04568333638331,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
566_0,16.91040488266345,21.827374299342278,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
567_0,7.735929155775985,-6.776511483006289,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
568_0,-0.025888273733330094,14.814316707749585,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
569_0,9.069439408738747,7.768380776758118,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
571_0,7.327160542663752,3.8418446698716906,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
574_0,10.741881826770356,3.825674994757539,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
578_0,12.585082846840864,6.109911099216657,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
581_0,10.497133959192057,-13.958003190371393,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
585_0,11.16019296552493,-12.822083513602257,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
591_0,-15.293010627517571,14.27613602103358,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
601_0,-12.844058278073396,14.032782410565602,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
605_0,12.872926533075766,26.058439287545223,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
609_0,0.9369741131629643,40.769340211814914,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
616_0,0.3333461269183082,13.014092878374063,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
617_0,4.334167590429773,42.99536548586309,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
622_0,10.232567423509007,12.778824105463162,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
629_0,2.535638150873439,43.74321295989259,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
633_0,4.935321484489463,38.579966201358815,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
637_0,-29.81944218538439,30.497284600965017,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
638_0,28.822929157446215,-10.59228531536078,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
642_0,9.210191983686498,45.365570363012445,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
648_0,-28.868517427754174,23.6599374789461,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
652_0,11.0679033009693,24.466804267142255,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
653_0,-12.770214284650168,17.873349744761793,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
655_0,-21.674184641407532,28.928017631136623,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
659_0,13.073302332326508,3.5858248138976263,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
662_0,2.409362882597117,25.14997304071515,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
663_0,6.681459274779528,-10.219035314809119,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
666_0,-19.348690254456987,46.145757187270256,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
667_0,6.335516849175727,15.436579705059179,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
668_0,12.644781336191068,17.904880611234386,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
681_0,-14.296905093033631,19.801583502124345,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
685_0,-19.913206454453583,18.909825919578896,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
